0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/d3.js?ox=6.2.1 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/descriptionsEditor.js?ox=6.2.1 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/discussionEditor.js?ox=6.2.1 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/elementCollectionEditor.js?ox=6.2.1 HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/filepond-plugin-image-preview.js?ox=6.2.1 HTTP/1.1" 200 14942
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/filepond.js?ox=6.2.1 HTTP/1.1" 200 97918
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/htmlEditor.js?ox=6.2.1 HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/jquery-ckeditor-adapter.js?ox=6.2.1 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/textEditor.js?ox=6.2.1 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/uploadEditor.js?ox=6.2.1 HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/yahoo-dom-event.js?ox=6.2.1 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/editors/js/yahoo-treeview-min.js?ox=6.2.1 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/naviox/js/naviox.js?ox=6.2.1 HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "GET /OneRelease/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 200 135276
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:32:57 +0100] "POST /OneRelease/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:02 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:04 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:04 +0100] "GET /OneRelease/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:05 +0100] "GET /OneRelease/m/Project HTTP/1.1" 200 13057
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:05 +0100] "GET /OneRelease/dwr/interface/Modules.js?ox=6.2.1 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [02/Nov/2020:20:33:05 +0100] "GET /OneRelease/dwr/interface/Folders.js?ox=6.2.1 HTTP/1.1" 200 239
